14	1609	11
118	6716	45
406	4183	5
435	7437	5
143	6534	19
11578	7036	2
27953	5197	13
987	604	13
127	5894	10
102	4971	14
2467	98	1
560	5902	11
13274	7818	10
5742	3839	2
104	9896	7
14	430	15
170	247	0
20822	8151	0
206	7753	26
305	3023	2
22712	1360	7
2823	7207	13
3128	8988	11
1372	1527	6
14	8358	22
801	4684	18
8	4785	8
12	4238	13
12396	5382	26
167	786	3
7107	2412	9
2752	3011	11
9456	2498	13
126	4559	4
23176	1948	10
14668	6680	5
275	829	10
972	5351	3
6566	5198	5
108	6045	5
31559	5558	27
5398	5150	6
101	169	3
101	4389	11
2508	8377	0
104	1953	10
168	4789	3
102	3727	3
1891	9960	0
12662	9140	7
14153	4257	4
707	7379	20
113	1508	8
12	5796	7
150	9309	2
260	7353	10
14	1190	25
137	3633	3
42636	4344	14
8	381	2
1543	7110	11
271	7932	8
3331	1353	5
241	2387	1
12256	245	10
2030	4063	8
30646	7804	3
261	4433	1
14	6887	10
148	7423	5
510	4285	29
3067	8245	15
6996	4185	19
288	1132	12
224	9534	2
8548	7301	2
6369	2726	2
287	4165	12
305	7079	2
8	8592	7
101	6787	12
305	5805	25
200	5785	14
635	7198	7
5489	6651	12
10769	7811	18
14	3841	10
5408	2246	9
24403	4381	7
11595	5924	19
2750	7396	16
1128	6382	6
38755	6534	4
29116	2571	13
32468	5201	18
102	2924	13
14	6220	16
159	4608	7
493	6325	0
1292	6996	7
118	1828	7
11603	2553	3
144	3808	1
11976	8648	18
2589	4033	6
1662	119	3
696	5395	5
2461	9890	1
14	9193	4
4319	6130	9
43855	6775	3
16825	9904	12
12	5610	1
141	6371	2
1277	5717	27
943	940	1
449	138	3
102	5320	2
102	6183	5
3700	584	4
26173	1212	4
17	997	9
2861	877	5
6241	4937	8
3061	4455	16
209	7695	28
22377	2551	6
21788	9432	0
107	5659	16
102	7593	5
1585	3539	10
11460	897	2
498	3868	17
107	9304	1
14	8617	6
104	8431	3
12	1987	23
6375	6327	1
291	9478	8
12	6981	4
349	6787	4
935	951	0
4686	2896	1
12	6058	3
152	4735	0
12	2062	12
12	7756	6
57	4569	25
360	6158	10
186	8670	1
607	7000	23
122	8048	4
14	1326	11
42953	7231	4
18312	8447	5
12	139	3
2166	6239	12
6257	7368	5
496	8436	3
2340	5796	19
598	8873	19
86	9320	1
14890	4012	13
14	2691	11
3606	8275	1
109	1818	0
1301	497	3
12	1606	16
9117	6665	14
182	7005	11
14	9286	9
648	4268	14
2016	3877	11
9156	5207	5
103	655	1
3299	1255	9
12	7850	11
11752	9326	10
5105	8631	1
8	4797	9
11395	8785	7
112	9794	2
29904	8054	14
140	7755	3
12	8996	1
114	6916	4
315	1808	6
14	4841	6
20039	6109	4
104	966	23
109	1501	0
18223	4008	11
7512	3975	0
6245	4275	23
6167	9916	20
12	3019	9
11097	7375	14
12	3552	23
2955	2571	6
39444	4473	3
120	8031	17
38096	5193	14
111	604	12
41520	8794	13
23013	9570	16
114	8643	14
14	4840	18
111	504	6
9463	5562	9
37017	7397	11
184	9528	5
1978	7911	12
26397	3039	17
338	9550	3
357	432	15
120	1396	10
12	5678	16
30112	5764	7
21600	9292	0
942	3663	4
24613	1433	5
21807	3988	7
14	5536	6
1141	4678	15
